id_evento,ot_utc,magnitud,tipo_magnitud,fases,rms,azgap,latitud,longitud,profundidad_km,agencia,autor,region
csn_sc62026nordy,2026-07-12 23:32:32,2.4,M,18,0.35,192,-20.1336,-69.1595,95.5,CSN,cris,Northern Chile
csn_sc62026norhg,2026-07-12 23:36:23,2.4,M,25,0.49,207,-19.9020,-68.8372,123.1,CSN,cris,Chile-Bolivia Border Region
csn_sc62026norkl,2026-07-12 23:40:04,3.2,MLv,27,0.41,107,-22.9792,-69.0074,94.6,CSN,cris,Northern Chile
csn_sc62026normt,2026-07-12 23:42:43,2.7,MLv,33,0.63,142,-20.8143,-69.0331,110.8,CSN,cris,Northern Chile
csn_sc62026nosde,2026-07-13 00:09:26,2.7,MLv,25,0.44,189,-21.6786,-68.5502,146.8,CSN,cris,Chile-Bolivia Border Region
csn_sc62026nosrg,2026-07-13 00:18:57,2.2,M,21,0.46,134,-19.7919,-69.3861,90.1,CSN,cris,Northern Chile
csn_sc62026nosud,2026-07-13 00:21:37,1.9,M,21,0.45,256,-32.6865,-71.7435,29.6,CSN,cris,Near Coast of Central Chile
csn_sc62026notjr,2026-07-13 00:39:46,2.7,MLv,24,0.46,168,-22.0994,-68.8546,104.6,CSN,cris,Northern Chile
csn_sc62026notov,2026-07-13 00:45:51,2.6,MLv,31,0.41,169,-21.1420,-68.6128,135.1,CSN,cris,Chile-Bolivia Border Region
csn_sc62026notrh,2026-07-13 00:48:40,3.0,M,35,0.37,230,-31.4231,-68.8900,154.4,CSN,cris,"San Juan Province, Argentina"
csn_sc62026noudl,2026-07-13 01:02:52,2.5,M,14,0.34,138,-21.1578,-68.8608,102.9,CSN,scautoloc2@prod-pub-seiscomp6,Chile-Bolivia Border Region
csn_sc62026nougc,2026-07-13 01:05:56,3.2,MLv,26,0.31,154,-18.9587,-69.1903,107.7,CSN,sali,Northern Chile
csn_sc62026noulk,2026-07-13 01:12:05,4.7,MLv,29,0.31,153,-23.9612,-66.7201,224.3,CSN,sali,"Jujuy Province, Argentina"
csn_sc62026nouml,2026-07-13 01:13:21,4.2,M,13,2.00,191,-23.1762,-68.9409,30.0,CSN,scautoloc@prod-pub-seiscomp6,Northern Chile
