time,latitude,longitude,depth [km],magnitude,magnitude_type,region_name,felt
2026-06-06T02:48:37Z,-22.25, -68.72, 109.7, 2.5,MLv,32.62 km al NE de Calama,f
2026-06-06T05:33:16Z,-28.52, -72.77,  42.5, 3.1,MLv,150.62 km al NO de Punta de Choros,f
2026-06-04T01:44:57Z,-33.85, -72.08,  30.3, 3.3,MLv,25.67 km al O de Navidad,f
2026-06-06T06:02:18Z,-32.78, -71.68,  30.1, 3.6,MLv,14.59 km al O de Quintero,t
2026-06-05T06:33:26Z,-21.06, -68.86, 102.0, 3.0,MLv,33.32 km al SO de Mina Collahuasi,f
2026-06-04T02:51:06Z,-28.40, -70.65,  56.9, 2.6,MLv,22.24 km al NE de Vallenar,f
2026-06-05T07:07:58Z,-23.99, -69.64,  75.9, 2.6,MLv,66.24 km al NO de Mina La Escondida,f
2026-06-06T06:04:01Z,-21.22, -68.67, 111.2, 2.9,MLv,43.17 km al O de Ollagüe,f
2026-06-05T08:09:18Z,-23.35, -67.99, 155.3, 2.9,MLv,28.32 km al NO de Socaire,f
2026-06-04T11:07:06Z,-21.09, -68.75, 113.8, 2.6,MLv,31.19 km al S de Mina Collahuasi,f
2026-06-05T10:18:04Z,-21.93, -68.63, 126.0, 2.5,MLv,67.19 km al NE de Calama,f
2026-06-06T06:52:29Z,-33.99, -71.94,  28.0, 2.8,MLv,11.0 km al O de Navidad,f
2026-06-06T07:55:56Z,-24.13, -67.53, 204.0, 3.9,MLv,70.44 km al SE de Socaire,f
2026-06-05T11:22:12Z,-17.86, -69.76, 135.3, 2.5,MLv,41.5 km al SO de Visviri,f
2026-06-04T12:59:44Z,-21.20, -68.04, 173.4, 3.1,MLv,22.21 km al E de Ollagüe,f
2026-06-05T13:39:51Z,-32.29, -71.09,  69.3, 3.5,MLv,15.31 km al O de Petorca,f
2026-06-06T09:06:54Z,-32.81, -71.78,  28.3, 3.4,MLv,24.12 km al O de Quintero,f
2026-06-06T11:14:42Z,-22.25, -68.82, 104.3, 2.9,MLv,27.13 km al NE de Calama,f
2026-06-04T16:08:58Z,-22.56, -68.72, 120.7, 2.5,MLv,23.36 km al SE de Calama,f
2026-06-06T12:40:42Z,-19.53, -70.14,  16.4, 2.6,MLv,11.33 km al NE de Pisagua,f
2026-06-05T14:20:28Z,-20.38, -68.94, 112.1, 3.0,MLv,42.84 km al E de Pica,f
2026-06-05T14:59:10Z,-21.32, -68.75, 122.5, 2.6,MLv,52.38 km al O de Ollagüe,f
2026-06-04T21:59:24Z,-20.62, -68.92,  98.7, 4.3,MLv,35.7 km al NO de Mina Collahuasi,f
2026-06-05T16:44:05Z,-22.37, -68.80, 108.1, 2.7,MLv,16.86 km al NE de Calama,f
2026-06-06T18:59:17Z,-24.11, -67.06, 189.4, 3.2,MLv,76.41 km al O de San Antonio de los Cobres,f
2026-06-06T19:51:38Z,-22.46, -67.99, 204.9, 2.5,MLv,55.87 km al NE de San Pedro de Atacama,f
2026-06-05T16:55:28Z,-21.28, -68.01, 171.7, 2.6,MLv,26.11 km al E de Ollagüe,f
2026-06-05T04:44:09Z,-32.76, -71.68,  29.8, 2.5,MLv,14.63 km al O de Quintero,f
2026-06-05T17:26:55Z,-21.54, -68.35, 135.7, 3.0,MLv,36.83 km al S de Ollagüe,f
