time,latitude,longitude,depth [km],magnitude,magnitude_type,region_name,felt
2026-06-03T08:18:00Z,-30.12, -71.53,  34.9, 2.7,MLv,15.74 km al N de Tongoy,f
2026-06-03T11:53:49Z,-32.81, -71.78,  30.3, 3.3,MLv,24.03 km al O de Quintero,f
2026-06-03T12:47:10Z,-22.29, -68.74, 101.2, 2.9,MLv,27.77 km al NE de Calama,f
2026-06-03T15:03:42Z,-21.13, -68.60, 132.8, 2.5,MLv,34.01 km al S de Mina Collahuasi,f
2026-06-03T15:05:55Z,-36.70, -71.72,  98.1, 3.3,MLv,21.46 km al SO de San Fabián,f
2026-06-03T17:05:56Z,-22.44, -68.68,  30.2, 2.5,MLv,26.33 km al E de Calama,f
2026-06-03T20:04:24Z,-28.83, -71.40,  32.3, 3.2,MLv,43.58 km al SO de Huasco,f
2026-06-03T20:52:48Z,-21.13, -68.99, 103.0, 3.1,MLv,47.9 km al SO de Mina Collahuasi,f
2026-06-03T21:18:09Z,-33.85, -72.13,  17.9, 3.4,MLv,29.88 km al O de Navidad,f
2026-06-03T21:50:33Z,-33.91, -72.08,  23.5, 3.3,MLv,23.77 km al O de Navidad,f
2026-06-03T22:21:46Z,-33.92, -72.02,  23.5, 2.9,MLv,17.8 km al O de Navidad,f
2026-06-03T22:39:28Z,-33.91, -72.13,  26.0, 3.3,MLv,27.99 km al O de Navidad,f
2026-06-03T22:54:43Z,-33.87, -72.07,  19.7, 4.0,MLv,24.42 km al O de Navidad,t
2026-06-03T23:01:58Z,-20.81, -69.14, 107.8, 2.6,MLv,40.42 km al SE de Pica,f
2026-06-03T23:18:02Z,-28.49, -70.56,  69.3, 2.7,MLv,20.97 km al NE de Vallenar,f
2026-06-03T23:27:42Z,-33.87, -72.09,  15.3, 2.6,MLv,26.08 km al O de Navidad,f
2026-06-04T00:14:46Z,-33.79, -72.13,  26.7, 2.7,MLv,33.09 km al NO de Navidad,f
2026-06-04T01:12:22Z,-22.42, -68.69, 106.3, 2.9,MLv,24.73 km al E de Calama,f
2026-06-04T14:28:56Z,-22.40, -68.91, 114.3, 3.2,MLv,7.67 km al N de Calama,f
2026-06-04T16:52:57Z,-21.38, -71.62,  36.2, 2.8,MLv,160.11 km al O de Patache,f
2026-06-04T17:19:52Z,-17.43, -69.72, 165.6, 3.1,MLv,31.61 km al NO de Visviri,f
2026-06-04T21:59:24Z,-20.62, -68.92,  98.7, 4.3,MLv,35.7 km al NO de Mina Collahuasi,f
2026-06-04T22:21:53Z,-27.24, -71.33,  26.4, 2.8,MLv,53.76 km al O de Caldera,f
2026-06-04T23:10:09Z,-21.18, -69.08, 107.6, 2.5,MLv,58.63 km al SO de Mina Collahuasi,f
2026-06-05T06:33:26Z,-21.06, -68.86, 102.0, 3.0,MLv,33.32 km al SO de Mina Collahuasi,f
2026-06-05T08:09:18Z,-23.35, -67.99, 155.3, 2.9,MLv,28.32 km al NO de Socaire,f
2026-06-05T10:42:37Z,-22.18, -68.75, 110.8, 2.7,MLv,36.93 km al NE de Calama,f
2026-06-05T14:20:28Z,-20.38, -68.94, 112.1, 3.0,MLv,42.84 km al E de Pica,f
2026-06-05T14:59:10Z,-21.32, -68.75, 122.5, 2.6,MLv,52.38 km al O de Ollagüe,f
